patient	well_fov	feature	compartment	channel	processor_type	subdir_input	subdir_mask	subdir_output
NF0037_T1	E7-1	Colocalization	Organoid	ER-Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	E7-1	Granularity	Organoid	Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	E7-1	Intensity	Organoid	Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	E7-1	Texture	Organoid	Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	E7-1	SAMMed3D	Organoid	Mito	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	E7-1	Colocalization	Organoid	Mito-AGP	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Cell	AGP	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Cell	AGP	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Cell	AGP	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Cell	DNA	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Cell	DNA	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Cell	DNA	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Cell	ER	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Cell	ER	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Cell	ER	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Cell	Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Cell	Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Cell	Mito	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Cytoplasm	AGP	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Cytoplasm	AGP	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Cytoplasm	AGP	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Cytoplasm	DNA	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Cytoplasm	DNA	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Cytoplasm	DNA	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Cytoplasm	ER	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Cytoplasm	ER	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Cytoplasm	ER	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Cytoplasm	Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Cytoplasm	Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Cytoplasm	Mito	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Organoid	AGP	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Organoid	AGP	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Organoid	AGP	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Organoid	DNA	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Organoid	DNA	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Organoid	DNA	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Organoid	ER	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Organoid	ER	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Organoid	ER	GPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Granularity	Organoid	Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	Intensity	Organoid	Mito	CPU	zstack_images	segmentation_masks	extracted_features
NF0037_T1	G9-1	SAMMed3D	Organoid	Mito	GPU	zstack_images	segmentation_masks	extracted_features
NF0055_T1	C4-1	CHAMMI75	Nucleocentric	AGP	GPU	zstack_images	segmentation_masks	extracted_features
NF0055_T1	C4-1	SAMMed3D	Nucleocentric	AGP	GPU	zstack_images	segmentation_masks	extracted_features
NF0055_T1	C4-1	CHAMMI75	Nucleocentric	DNA	GPU	zstack_images	segmentation_masks	extracted_features
NF0055_T1	C4-1	SAMMed3D	Nucleocentric	DNA	GPU	zstack_images	segmentation_masks	extracted_features
NF0055_T1	C4-1	CHAMMI75	Nucleocentric	ER	GPU	zstack_images	segmentation_masks	extracted_features
NF0055_T1	C4-1	SAMMed3D	Nucleocentric	ER	GPU	zstack_images	segmentation_masks	extracted_features
NF0055_T1	C4-1	CHAMMI75	Nucleocentric	Mito	GPU	zstack_images	segmentation_masks	extracted_features
NF0055_T1	C4-1	SAMMed3D	Nucleocentric	Mito	GPU	zstack_images	segmentation_masks	extracted_features
