Metadata_Experiment_Well,Metadata_Experiment_Treatment,Metadata_Experiment_Dose,Metadata_Experiment_Unit,Metadata_Experiment_Target,Metadata_Experiment_TherapeuticCategories,Metadata_Experiment_ViabilityPercentage,Metadata_Biology_PatientTumor,Metadata_Biology_TumorType
D5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,86.51047685,NF0055_T1,pNF
D5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,70.31849851,NF0018_T6,cNF
E5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,72.5547775,NF0014_T2,pNF
E5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,70.38950715,NF0035_T1,cNF
E5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,44.05594406,SARCO219_T2,MPNST
E5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,39.49429428,NF0014_T1,cNF
E5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,60.29168048,NF0021_T1,cNF
E5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,69.98254799,NF0037_T1,cNF
E5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,77.82506384,SARCO361_T1,MPNST
E5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,86.51047685,NF0055_T1,pNF
E5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,70.31849851,NF0018_T6,cNF
F5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,59.09193585,NF0014_T2,pNF
F5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,83.18759936,NF0035_T1,cNF
F5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,53.84615385,SARCO219_T2,MPNST
F5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,70.41803942,NF0014_T1,cNF
F5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,71.41199867,NF0021_T1,cNF
F5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,84.991274,NF0037_T1,cNF
F5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,88.03885245,SARCO361_T1,MPNST
F5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,113.9088018,NF0055_T1,pNF
F5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,84.99928907,NF0018_T6,cNF
G5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,59.09193585,NF0014_T2,pNF
G5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,83.18759936,NF0035_T1,cNF
G5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,53.84615385,SARCO219_T2,MPNST
G5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,70.41803942,NF0014_T1,cNF
G5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,71.41199867,NF0021_T1,cNF
G5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,84.991274,NF0037_T1,cNF
G5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,88.03885245,SARCO361_T1,MPNST
G5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,113.9088018,NF0055_T1,pNF
G5,Rapamycin,1,uM,mTOR inhibitor,Kinase Inhibitor,84.99928907,NF0018_T6,cNF
B6,Vistusertib,1,uM,mTOR inhibitor,Investigational,78.44677138,NF0037_T1,cNF
B6,Vistusertib,1,uM,mTOR inhibitor,Investigational,66.41373598,NF0055_T1,pNF
C6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,85.65620059,NF0014_T2,pNF
C6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,76.23211447,NF0035_T1,cNF
C6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,102.4475524,SARCO219_T2,MPNST
C6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,114.1577081,NF0014_T1,cNF
C6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,100.1657275,NF0021_T1,cNF
C6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,93.45549738,NF0037_T1,cNF
C6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,99.50433085,SARCO361_T1,MPNST
C6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,98.76159408,NF0055_T1,pNF
C6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,93.26034409,NF0018_T6,cNF
D6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,85.65620059,NF0014_T2,pNF
D6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,76.23211447,NF0035_T1,cNF
D6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,102.4475524,SARCO219_T2,MPNST
D6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,114.1577081,NF0014_T1,cNF
D6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,100.1657275,NF0021_T1,cNF
D6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,93.45549738,NF0037_T1,cNF
D6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,99.50433085,SARCO361_T1,MPNST
D6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,98.76159408,NF0055_T1,pNF
D6,Imatinib,1,uM,tyrosine kinase inhibitor,Kinase Inhibitor,93.26034409,NF0018_T6,cNF
E6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,77.0725096,NF0014_T2,pNF
E6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,126.0333863,NF0035_T1,cNF
E6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,86.71328671,SARCO219_T2,MPNST
E6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,103.6993126,NF0014_T1,cNF
E6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,136.8080875,NF0021_T1,cNF
E6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,90.40139616,NF0037_T1,cNF
E6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,99.68457418,SARCO361_T1,MPNST
